Coal and lignite domestic consumption (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
World,4671,4588,4536,4514,4522,4661,4754,4706,4668,4563,4842,4887,5003,5398,5716,6006,6312,6612,6699,6662,6952,7307,7405,7641,7587,-0.7,3.3
OECD,2329,2245,2178,2154,2150,2148,2213,2228,2216,2193,2279,2269,2278,2334,2343,2361,2370,2422,2358,2175,2260,2237,2159,2171,2135,-1.7,-0.5
G7,1593,1512,1470,1457,1451,1449,1488,1497,1492,1483,1543,1532,1549,1587,1597,1612,1607,1635,1595,1430,1504,1454,1377,1418,1377,-2.9,-0.8
BRICS,1770,1809,1837,1866,1927,2071,2127,2072,2045,1980,2136,2175,2271,2565,2871,3130,3396,3610,3750,3924,4106,4445,4622,4846,4835,-0.2,6.0
Europe,1353,1244,1166,1105,1066,1052,1054,1023,993,932,973,978,968,996,986,970,991,1017,969,900,913,958,967,933,899,-3.6,-0.6
European Union,1222,1120,1043,992,962,940,936,894,852,806,832,844,840,867,855,831,843,853,801,732,748,780,795,767,719,-6.3,-1.0
Belgium,17,16,14,14,14,14,13,12,12,11,12,11,9,9,8,8,8,7,7,4,6,5,5,5,5,17.1,-5.2
Czech Rep.,85,79,74,72,67,66,66,65,59,52,62,60,58,59,58,57,57,58,55,51,53,53,51,49,48,-1.9,-1.7
France,31,34,30,23,23,25,25,23,27,24,24,20,21,21,20,22,21,22,20,17,18,15,17,18,14,-23.7,-3.8
Germany,449,368,328,306,289,274,273,260,248,236,244,249,253,255,253,244,245,254,240,226,232,236,247,251,236,-5.8,-0.2
Italy,22,21,18,16,17,18,17,17,17,17,19,20,21,22,25,25,25,25,25,20,22,24,25,22,21,-6.0,0.7
Netherlands,14,12,12,12,13,14,14,14,14,12,13,14,14,14,14,13,12,14,13,12,12,12,13,13,15,10.5,1.0
Poland,184,183,174,176,171,168,171,165,152,146,141,141,135,139,138,135,138,136,133,126,132,135,133,137,130,-5.4,-0.6
Portugal,4,5,5,5,5,6,5,5,5,6,6,5,6,5,5,5,5,5,4,5,3,4,5,4,4,1.0,-2.2
Romania,47,40,44,45,44,45,45,38,31,28,32,34,35,38,36,36,41,40,40,35,33,39,36,26,26,0.3,-1.6
