Crude oil input to refineries (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
World,3135,3132,3139,3161,3194,3227,3326,3425,3447,3456,3528,3559,3576,3662,3794,3841,3875,3868,3896,3816,3900,3929,3984,4013,4082,1.7,1.0
OECD,1821,1844,1896,1938,1974,1983,2037,2097,2126,2095,2118,2107,2094,2127,2156,2157,2150,2122,2095,1982,1984,1979,1965,1959,1958,0.0,-0.6
G7,1359,1363,1389,1422,1437,1435,1462,1497,1516,1493,1513,1502,1494,1518,1542,1538,1526,1525,1500,1410,1410,1398,1368,1371,1373,0.1,-0.7
BRICS,542,537,511,491,458,467,476,503,496,539,589,606,633,666,713,749,792,824,860,916,990,1025,1087,1120,1168,4.3,5.0
Europe,727,721,723,738,749,748,768,781,802,763,776,777,775,789,804,803,802,770,765,712,704,694,686,666,655,-1.6,-1.2
European Union,679,674,677,690,702,701,718,730,751,714,729,728,726,737,752,751,748,718,715,668,659,647,640,616,610,-1.0,-1.3
Belgium,30,33,33,32,32,29,36,37,38,36,38,40,46,46,44,37,37,39,38,35,35,33,35,32,35,10.2,-0.6
Czech Rep.,8,7,7,7,7,7,8,7,7,6,6,6,6,7,7,8,8,8,9,8,8,8,8,7,8,12.4,1.7
France,79,82,80,83,81,82,86,91,94,86,90,91,85,88,89,87,88,87,89,79,73,73,62,61,60,-1.9,-2.8
Germany,107,106,113,117,121,116,117,113,119,117,118,116,116,118,122,125,123,121,118,110,104,102,103,100,98,-1.5,-1.3
Italy,91,93,93,94,94,92,90,97,101,95,96,97,97,99,100,102,101,103,96,88,91,86,82,73,68,-6.7,-2.4
Netherlands,68,71,72,74,75,79,80,80,81,77,81,83,80,83,85,85,82,58,58,58,59,58,58,55,57,2.8,-2.5
Poland,13,12,14,15,15,15,16,16,17,18,19,19,18,18,19,19,22,22,23,23,24,26,27,26,26,-0.1,2.0
Portugal,11,10,12,11,14,13,12,13,14,14,12,13,12,13,13,14,14,13,13,11,12,11,11,14,12,-10.1,0.0
