Crude oil production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year),
World,3176,3175,3214,3241,3272,3324,3415,3510,3570,3501,3628,3631,3604,3740,3911,3962,3989,3964,3997,3917,3998,4038,4118,4135,4208,1.8,1.1,
OECD,895,914,928,935,970,981,1008,1020,1016,990,1009,1005,1008,1003,975,927,903,895,860,860,859,861,903,953,1030,8.1,0.1,
G7,611,610,612,611,633,637,639,641,640,623,616,604,610,598,580,552,546,550,538,554,567,578,628,687,767,11.7,1.6,
BRICS,734,680,608,568,540,537,547,554,557,565,594,619,663,709,754,774,795,810,815,826,862,875,885,892,911,2.1,3.1,
Europe,220,231,246,259,301,314,331,330,327,332,336,326,325,311,290,268,248,242,230,219,202,184,169,161,163,1.0,-5.0,
European Union,132,131,134,139,167,170,170,169,172,178,171,159,164,154,143,132,121,120,112,106,99,86,77,73,72,-1.6,-6.0,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.,
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.9,-2.6,
France,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,-6.1,-5.0,
Germany,6,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,-6.8,-1.6,
Italy,5,4,5,5,5,5,6,6,6,5,5,4,6,6,6,7,7,7,7,6,7,6,6,6,6,-2.0,1.9,
Netherlands,4,4,3,3,4,3,3,3,3,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,3,25.1,0.9,
Poland,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0.7,4.2,
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.,
Romania,8,7,7,7,7,7,7,7,7,6,6,6,7,7,6,6,6,5,5,5,4,4,4,4,4,-2.0,-3.0,
Spain,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.1,2.1,
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.,
United Kingdom,92,91,94,100,127,130,130,128,132,137,126,117,116,106,95,85,77,77,72,68,63,52,45,41,40,-2.3,-7.9,
