Electricity domestic consumption (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year),,
World,10129,10420,10507,10705,10983,11330,11707,11992,12261,12610,13173,13384,13824,14368,15007,15675,16317,17125,17451,17349,18553,19123,19576,20053,20302,1.2,3.1,,
OECD,6630,6860,6916,7062,7275,7491,7719,7878,8053,8262,8584,8629,8801,8928,9126,9345,9418,9658,9645,9252,9689,9625,9573,9547,9435,-1.2,0.7,,
G7,5212,5417,5449,5559,5711,5861,6017,6102,6236,6375,6582,6560,6681,6752,6864,7019,7021,7183,7133,6798,7108,7005,6927,6910,6815,-1.4,0.2,,
BRICS,2023,2078,2104,2152,2199,2280,2376,2445,2484,2578,2727,2811,3000,3294,3617,3951,4384,4852,5087,5325,5877,6403,6771,7164,7434,3.8,7.4,,
Europe,2518,2538,2534,2526,2559,2633,2717,2761,2819,2864,2954,3024,3059,3131,3209,3265,3318,3357,3389,3231,3381,3336,3344,3320,3226,-2.8,0.6,,
European Union,2274,2294,2286,2281,2310,2372,2446,2480,2524,2563,2639,2704,2735,2803,2863,2903,2944,2965,2978,2830,2954,2899,2896,2866,2779,-3.0,0.4,,
Belgium,59,62,64,65,68,70,71,73,76,76,79,80,80,82,84,84,86,86,86,80,86,83,84,84,82,-2.1,0.2,,
Czech Rep.,53,50,48,48,49,52,54,53,52,51,52,54,54,55,56,58,59,60,60,57,59,59,59,59,58,-1.7,0.7,,
France,323,347,356,356,363,368,384,382,393,401,410,421,419,437,449,451,446,448,461,448,472,443,454,460,430,-6.6,0.3,,
Germany,481,481,476,467,465,473,480,483,487,491,501,513,526,531,538,539,544,545,543,514,547,541,540,533,516,-3.3,0.2,,
Italy,219,224,228,229,237,243,246,254,261,267,279,285,291,300,304,310,318,319,319,300,310,314,307,297,288,-3.0,0.2,,
Netherlands,76,78,80,81,84,85,89,92,96,98,101,103,104,106,110,110,111,114,115,109,113,114,111,109,107,-1.7,0.4,,
Poland,109,103,98,99,100,104,107,109,109,107,109,109,108,111,115,116,121,125,127,122,129,132,133,134,135,1.0,1.6,,
Portugal,24,25,26,26,27,29,31,32,34,37,39,41,42,44,45,47,49,50,49,49,51,49,47,47,47,-0.7,1.3,,
Romania,60,51,47,43,41,43,46,47,44,39,41,42,42,44,45,47,47,47,48,43,46,47,47,45,44,-1.9,0.4,,
