Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
World,11854,12133,12244,12535,12840,13285,13718,14009,14369,14774,15477,15594,16203,16782,17570,18333,19041,19878,20268,20207,21526,22218,22718,23276,23636,1.5,3.1
OECD,7672,7860,7936,8121,8349,8604,8854,8978,9204,9407,9798,9678,9958,10053,10321,10576,10649,10850,10862,10465,10928,10872,10849,10819,10737,-0.8,0.7
G7,6050,6196,6237,6377,6538,6719,6904,6945,7103,7230,7488,7295,7529,7587,7741,7920,7942,8038,8009,7651,7984,7882,7817,7825,7754,-0.9,0.2
BRICS,2386,2468,2509,2582,2637,2754,2863,2961,3025,3170,3363,3500,3723,4077,4453,4819,5313,5835,6092,6367,7001,7639,8003,8451,8779,3.9,7.1
Europe,2899,2936,2926,2931,2976,3070,3163,3199,3279,3326,3438,3504,3539,3620,3706,3762,3812,3857,3883,3707,3864,3807,3841,3808,3732,-2.0,0.6
European Union,2595,2640,2624,2626,2666,2743,2845,2857,2922,2954,3036,3119,3144,3235,3304,3325,3370,3383,3387,3221,3364,3295,3295,3264,3162,-3.1,0.3
Belgium,71,72,72,71,72,74,76,79,83,85,84,80,82,85,86,87,86,89,85,91,95,90,83,84,74,-12.4,-0.9
Czech Rep.,63,61,59,59,59,61,64,65,65,65,73,75,76,83,84,83,84,88,84,82,86,88,88,87,86,-1.1,1.1
France,421,456,464,473,477,494,513,505,511,526,541,550,559,567,574,576,575,570,574,535,569,560,564,575,562,-2.2,0.3
Germany,550,540,537,526,529,537,555,552,556,556,577,586,587,609,617,623,639,641,640,596,633,613,630,635,616,-3.0,0.5
Italy,217,222,226,223,232,241,244,251,260,266,277,279,285,294,303,304,314,314,319,293,302,303,299,288,277,-4.0,0.0
Netherlands,72,74,77,77,80,81,85,87,91,87,90,94,96,97,102,100,98,105,108,114,118,113,103,99,100,1.6,0.8
Poland,136,135,133,134,135,139,143,143,143,142,145,146,144,152,154,157,162,159,155,152,158,164,162,164,159,-3.6,0.6
