Natural gas domestic consumption (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
World,2060,2115,2108,2142,2148,2202,2291,2323,2348,2428,2511,2529,2616,2700,2784,2855,2920,3053,3145,3070,3321,3381,3444,3490,3505,0.4,2.4
OECD,1035,1064,1083,1129,1155,1213,1279,1308,1311,1350,1403,1387,1426,1436,1461,1465,1469,1535,1555,1507,1615,1610,1636,1660,1635,-1.5,1.1
G7,863,884,901,941,962,1007,1053,1077,1072,1098,1139,1111,1135,1130,1136,1128,1120,1174,1183,1145,1216,1214,1243,1264,1252,-1.0,0.7
BRICS,506,522,500,488,456,439,436,426,432,444,455,465,473,498,517,533,556,584,600,598,667,702,709,723,737,1.9,3.5
Europe,379,394,385,395,399,425,468,465,476,493,507,522,524,546,561,574,571,571,585,547,595,550,535,532,480,-9.6,-0.4
European Union,367,381,371,381,385,409,451,445,455,470,483,496,496,514,526,535,528,523,537,501,545,494,479,475,421,-11.4,-1.0
Belgium,10,10,11,11,11,13,14,13,15,16,16,15,16,17,17,17,18,18,18,18,20,18,18,17,15,-12.5,-0.2
Czech Rep.,7,6,7,7,7,8,9,9,9,10,9,10,10,10,10,9,9,9,9,8,9,8,8,8,8,-11.3,-1.5
France,28,32,32,32,32,33,37,36,38,39,41,46,45,47,48,47,44,44,45,44,50,44,44,45,38,-16.3,-0.7
Germany,70,73,72,75,78,83,92,88,88,89,88,92,91,89,90,91,93,89,93,86,94,86,86,93,81,-12.6,-0.5
Italy,47,50,50,51,49,54,56,58,62,68,71,71,70,78,81,86,84,85,85,78,83,78,75,70,62,-11.6,-0.9
Netherlands,43,48,47,48,47,48,53,50,50,48,49,50,50,50,51,49,48,47,49,49,55,48,46,47,41,-12.8,-1.3
Poland,12,11,10,11,11,12,13,13,13,12,13,13,13,15,15,16,16,16,16,16,17,17,18,18,18,-2.6,2.1
Portugal,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,4,4,5,5,5,5,4,4,4,-5.4,4.1
Romania,36,29,26,25,24,24,24,21,19,17,17,17,17,18,17,17,18,16,16,13,14,14,14,13,12,-6.6,-2.6
Spain,6,6,7,7,7,9,10,13,13,15,18,19,22,25,28,34,36,37,40,36,36,33,32,30,27,-9.6,3.1
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-14.3,1.5
United Kingdom,57,63,62,69,71,75,88,90,93,99,103,101,100,101,103,100,95,96,99,91,99,83,78,77,70,-9.2,-2.7
Norway,2,2,4,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,6,6,6,6,5,5,4,-13.5,0.6
Turkey,3,4,5,5,5,7,8,10,10,13,15,16,18,21,22,27,31,37,37,35,38,45,45,45,48,7.0,8.7
CIS,704,716,678,651,601,573,569,547,548,565,567,574,579,606,615,622,631,643,649,599,655,674,664,651,642,-1.4,0.9
Kazakhstan,13,13,18,13,10,12,10,9,9,9,8,6,8,10,12,15,18,20,25,24,28,27,23,26,27,4.1,9.2
Russia,472,486,462,448,414,393,389,374,378,386,391,396,396,417,422,425,436,445,446,426,466,476,471,464,462,-0.5,1.2
Ukraine,113,115,106,99,88,82,89,79,71,77,74,74,73,78,79,78,69,67,65,50,57,58,53,49,41,-15.7,-4.1
Uzbekistan,40,41,41,44,44,42,43,44,50,52,51,52,55,52,50,49,50,51,52,46,46,51,53,50,51,1.1,0.0
America,688,694,714,741,760,793,819,845,837,847,888,854,887,879,891,891,892,944,963,943,1001,1016,1057,1083,1110,2.4,1.6
North America,602,604,622,649,664,691,707,729,713,722,753,717,743,726,726,716,706,754,758,742,780,796,828,847,867,2.4,1.0
Canada,67,68,71,74,77,81,85,86,83,87,92,87,91,95,93,92,92,99,98,95,97,104,106,109,110,1.0,1.3
United States,535,536,551,575,586,610,622,643,630,635,661,630,651,631,634,623,614,654,659,647,683,692,723,738,757,2.6,1.0
Latin America,86,90,92,92,96,102,112,116,124,126,136,137,144,153,165,176,185,191,205,201,220,220,229,236,243,2.6,4.2
Argentina,22,24,25,24,25,28,31,31,33,36,37,35,34,38,41,41,43,46,47,46,46,48,50,52,51,-0.4,2.3
Brazil,4,4,4,5,5,5,6,6,6,7,9,12,15,15,19,20,20,21,25,20,27,27,32,37,41,10.7,11.2
Chile,1,1,1,1,1,1,1,2,3,5,6,7,7,8,8,8,7,4,3,3,5,6,5,5,5,-0.6,-2.0
Colombia,4,4,4,5,5,5,5,7,8,7,7,8,8,7,8,8,8,8,9,10,11,10,10,11,13,9.5,3.9
Mexico,26,28,28,27,29,29,30,31,33,33,35,35,40,43,47,47,53,57,60,60,65,67,68,70,72,3.1,5.3
Venezuela,21,22,22,23,24,26,29,29,30,26,28,26,25,24,23,29,28,26,33,31,33,27,28,27,25,-6.5,-0.8
Asia,145,160,169,178,195,208,224,244,253,272,285,301,321,344,368,391,423,455,477,498,551,591,616,634,647,2.1,6.0
China,16,16,16,17,18,18,19,20,20,21,25,27,29,34,40,47,56,71,81,90,106,129,144,166,181,8.6,15.3
India,13,14,16,16,17,21,21,25,26,28,28,28,30,31,34,38,40,42,43,58,64,64,57,50,47,-5.4,3.9
Indonesia,17,19,20,21,26,29,30,33,36,35,31,33,36,36,34,33,36,30,33,39,44,41,41,38,39,1.2,1.5
Japan,58,62,63,65,68,70,73,75,77,81,84,84,86,89,89,89,98,107,104,104,110,127,132,132,134,1.4,3.4
Malaysia,8,12,13,12,15,14,17,20,20,23,27,29,29,30,32,38,40,41,46,38,37,38,38,39,40,2.7,2.8
South Korea,3,4,5,6,8,9,12,15,14,17,19,21,23,24,29,30,33,35,36,34,43,47,51,54,49,-8.5,7.0
Taiwan,2,3,3,3,4,4,4,5,6,6,6,7,8,8,9,10,10,11,12,12,15,16,15,15,16,4.0,7.0
Thailand,6,8,8,9,11,11,13,16,17,19,22,26,28,30,31,33,34,36,40,37,42,39,45,46,46,0.9,5.4
Pacific,23,22,23,23,24,25,26,26,27,28,29,30,32,31,32,31,31,35,36,37,39,41,40,41,44,7.3,3.1
Australia,18,17,17,18,19,20,20,20,21,22,23,24,26,26,27,27,27,31,31,33,34,36,36,37,39,6.8,4.0
New Zealand,5,5,6,5,5,5,6,6,5,6,6,6,6,5,4,4,4,4,4,4,5,4,4,5,5,11.3,-1.4
Africa,35,38,40,43,43,45,46,48,50,55,57,64,69,76,79,89,95,102,104,102,106,115,120,117,116,-1.0,5.2
Algeria,14,15,16,17,16,17,17,18,18,20,20,20,21,23,23,24,25,26,26,28,27,29,33,34,35,3.9,4.2
Egypt,8,9,10,12,12,13,13,13,14,17,18,23,26,29,28,37,39,43,45,44,44,48,48,47,44,-6.6,6.8
Nigeria,4,5,5,6,5,5,5,6,6,7,8,7,8,11,11,11,12,12,11,10,11,15,15,13,13,1.3,3.7
South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,3,3,5,5,4,5,5,5,5,6,13.8,8.8
Middle-East,86,91,100,112,126,132,139,148,158,168,178,183,203,217,238,255,278,302,331,345,375,395,410,432,466,7.8,7.1
Iran,21,26,27,31,38,42,42,47,51,59,62,66,74,82,93,99,109,123,130,136,144,153,152,156,174,11.9,7.6
Kuwait,6,1,5,9,9,9,9,9,9,9,10,10,9,10,11,12,12,12,13,12,15,17,18,18,20,7.0,5.3
Saudi Arabia,24,24,27,28,30,30,31,33,34,34,38,39,46,47,51,56,59,61,67,64,73,75,81,84,87,3.7,6.2
