Natural gas production (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
World,2063,2106,2106,2152,2170,2208,2301,2299,2346,2420,2506,2547,2607,2705,2785,2867,2954,3034,3151,3053,3273,3373,3431,3474,3505,0.9,2.4
OECD,881,903,922,957,995,1010,1062,1064,1069,1080,1104,1125,1115,1117,1115,1098,1110,1124,1158,1146,1176,1194,1228,1239,1270,2.5,1.0
G7,707,717,732,763,801,810,837,843,850,861,884,896,874,874,849,828,833,839,853,841,851,883,904,907,952,4.9,0.5
BRICS,663,668,667,647,638,631,640,616,637,642,637,638,658,686,705,721,742,749,778,727,820,840,825,846,828,-2.1,1.9
Europe,242,257,256,269,269,279,314,307,305,311,319,324,330,332,341,329,322,311,324,309,314,287,290,283,265,-6.3,-1.3
European Union,213,228,225,239,237,246,272,260,256,259,264,265,260,254,259,241,231,218,220,201,206,184,174,173,154,-11.2,-3.8
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8,0.8
France,3,3,3,3,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,-95.7,-29.3
Germany,19,19,19,19,20,21,23,22,22,23,22,22,22,22,20,20,20,20,18,18,15,15,13,13,11,-13.0,-4.8
Italy,17,17,18,20,21,20,20,19,19,17,17,15,15,14,13,12,11,10,9,8,8,8,9,8,7,-7.6,-5.9
Netherlands,76,86,87,88,84,85,96,85,81,76,73,78,76,73,86,79,77,76,84,79,89,81,80,86,70,-18.6,-0.3
Poland,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,-5.6,0.7
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.
Romania,28,25,22,21,19,18,17,15,14,14,14,14,13,13,13,12,12,12,11,11,11,11,11,11,11,0.9,-1.8
Spain,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-36.9,-10.6
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.
United Kingdom,50,57,56,66,70,76,90,92,96,105,115,111,109,109,102,93,84,76,74,62,60,48,41,39,39,0.3,-7.5
Norway,28,27,29,29,31,31,41,47,48,51,53,58,69,77,81,87,89,92,102,106,107,101,115,109,108,-0.6,5.2
Turkey,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-11.4,-2.1
CIS,800,798,764,751,709,700,706,662,680,693,709,712,730,763,780,797,813,824,851,747,828,868,859,873,857,-1.9,1.4
Kazakhstan,7,8,8,7,4,6,7,8,8,10,9,8,11,13,17,19,20,22,25,27,28,29,31,32,33,1.8,9.6
Russia,629,632,629,607,596,585,591,561,581,581,573,570,584,608,620,628,640,635,651,583,657,673,658,671,643,-4.2,0.8
Ukraine,28,23,21,19,18,18,18,18,18,18,18,18,19,19,20,21,21,21,20,21,20,20,20,21,22,4.3,1.4
Uzbekistan,41,42,43,45,47,48,49,51,55,55,56,57,58,58,59,60,63,65,67,61,60,63,63,61,61,0.7,0.6
America,703,707,723,744,780,788,809,819,830,837,864,880,866,881,878,877,904,928,950,949,977,1025,1058,1070,1115,4.2,1.8
North America,616,618,633,653,685,687,699,705,709,711,726,742,724,725,710,699,713,729,748,748,764,808,838,845,892,5.6,1.5
