Oil products domestic consumption (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2013 - 2014 (%/year),2000 - 2014 (%/year)
World,3053,3083,3099,3098,3129,3201,3282,3363,3392,3463,3501,3527,3557,3622,3775,3821,3853,3903,3856,3773,3910,3943,3964,4017,4034,0.4,1.0
OECD,1794,1808,1846,1860,1908,1922,1969,1996,2006,2037,2037,2048,2040,2071,2104,2099,2069,2046,1960,1864,1890,1856,1812,1810,1793,-0.9,-0.9
G7,1390,1386,1406,1413,1439,1443,1476,1490,1503,1523,1517,1527,1518,1539,1566,1556,1528,1497,1419,1342,1364,1342,1300,1307,1298,-0.7,-1.1
BRICS,446,466,454,449,422,448,457,482,488,513,535,539,554,578,627,640,672,708,721,734,807,851,889,914,943,3.1,4.1
Europe,649,656,655,649,652,662,678,678,688,679,668,678,675,681,682,681,678,657,650,615,611,586,568,562,553,-1.6,-1.3
European Union,597,607,607,598,603,610,622,622,633,625,613,624,619,624,624,623,618,597,590,555,552,529,510,502,499,-0.7,-1.5
Belgium,17,19,20,19,22,21,23,23,23,23,22,23,22,23,23,23,22,21,23,21,22,21,21,21,22,3.2,-0.2
Czech Rep.,9,7,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,9,9,8,8,8,9,6.5,0.8
France,80,86,85,83,82,84,85,85,89,88,86,89,86,86,86,86,85,83,81,78,76,74,73,72,70,-2.9,-1.5
Germany,119,127,128,129,128,128,130,128,129,124,121,123,118,116,114,112,112,99,105,100,101,98,98,100,99,-1.3,-1.4
Italy,88,87,89,88,87,91,90,90,90,88,86,85,87,86,84,81,81,78,74,68,67,64,59,56,53,-4.4,-3.4
Netherlands,22,23,23,22,23,22,22,22,22,23,24,24,25,26,27,27,27,26,25,24,25,23,24,24,23,-3.4,-0.3
Poland,13,13,13,14,14,14,16,18,18,19,19,18,18,19,20,21,22,23,23,23,24,24,23,22,22,0.4,1.2
Portugal,11,11,12,12,12,13,12,13,15,15,15,15,16,14,14,15,13,13,13,12,11,10,9,9,9,2.6,-3.2
Romania,17,14,12,11,11,11,13,13,11,10,10,11,11,10,10,10,10,10,10,9,8,8,9,9,9,5.9,-0.5
Spain,44,46,48,45,49,52,51,53,57,59,61,63,64,65,67,68,66,67,63,59,57,54,49,48,48,-0.5,-1.6
Sweden,15,15,16,16,17,16,18,16,17,16,15,15,15,15,14,14,13,13,12,11,12,11,11,10,10,-1.9,-2.8
United Kingdom,73,74,74,74,73,72,74,72,70,70,68,67,67,68,69,69,68,66,63,59,59,57,56,55,54,-0.8,-1.6
Norway,8,8,8,8,8,8,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,n.a.,n.a.,n.a.,n.a.
Turkey,22,22,23,26,25,28,30,29,29,28,30,28,29,29,29,28,30,30,30,31,29,29,31,31,30,-4.3,0.0
CIS,371,374,309,259,204,199,179,174,171,166,164,163,162,165,164,164,169,172,175,167,171,186,189,196,199,1.7,1.4
Kazakhstan,19,22,21,17,12,11,9,8,9,7,8,7,8,8,8,9,10,10,11,9,9,10,10,11,11,6.1,2.9
Russia,214,221,196,174,135,133,125,120,117,121,119,120,117,118,117,117,121,123,127,121,127,139,140,145,149,2.8,1.6
Ukraine,67,64,39,28,25,25,16,18,17,12,12,13,13,13,13,14,14,15,14,13,13,13,12,12,10,-15.5,-1.0
Uzbekistan,10,10,8,8,7,7,6,7,7,7,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,1.8,-5.1
America,1024,1011,1031,1047,1083,1083,1123,1157,1186,1205,1217,1229,1216,1236,1282,1289,1279,1282,1233,1174,1210,1206,1183,1205,1209,0.3,0.0
North America,809,789,804,814,836,832,860,878,895,916,924,936,930,955,987,986,970,962,903,850,874,860,824,838,843,0.5,-0.7
Canada,77,73,75,76,77,79,81,84,85,87,87,89,89,96,99,100,99,102,99,95,99,99,101,102,104,1.5,1.2
United States,732,716,729,738,759,753,779,793,810,829,837,847,841,859,888,887,871,860,804,755,775,761,723,736,739,0.4,-0.9
Latin America,215,222,228,233,247,251,263,279,291,289,293,293,285,280,294,303,309,319,329,324,336,346,359,367,366,-0.3,1.6
Argentina,19,20,21,21,23,23,23,25,27,26,25,23,21,22,25,25,28,28,30,29,30,31,32,33,33,-1.4,2.0
Brazil,57,58,60,62,66,70,75,81,85,87,88,88,85,82,85,87,88,92,95,94,104,109,116,121,127,4.7,2.7
Chile,6,7,7,8,8,9,10,10,11,11,10,9,10,10,11,11,11,15,15,14,14,14,14,14,14,-4.0,2.3
Colombia,8,9,9,10,11,11,12,12,12,11,11,11,11,10,11,11,11,11,11,10,10,12,12,13,13,4.3,1.3
